Index	Label
0	1
1	0
2	9
3	9
4	4
5	4
6	5
7	2
8	1
9	3
10	2
11	7
12	7
13	7
14	6
15	1
16	3
17	2
18	7
19	1
20	4
21	3
22	8
23	4
24	1
25	1
26	8
27	2
28	3
29	4
30	0
31	3
32	2
33	0
34	8
35	6
36	0
37	1
38	6
39	8
40	9
41	6
42	6
43	8
44	6
45	2
46	1
47	7
48	4
49	7
50	5
51	0
52	7
53	7
54	6
55	8
56	5
57	3
58	8
59	3
60	2
61	6
62	3
63	1
64	4
65	3
66	4
67	9
68	3
69	0
70	1
71	8
72	5
73	8
74	9
75	3
76	1
77	0
78	2
79	4
80	6
81	5
82	0
83	9
84	6
85	7
86	3
87	5
88	1
89	9
90	7
91	4
92	2
93	1
94	4
95	0
96	2
97	3
98	6
99	3
100	2
101	7
102	2
103	8
104	8
105	8
106	7
107	3
108	9
109	8
110	7
111	9
112	3
113	7
114	2
115	0
116	5
117	7
118	5
119	2
120	2
121	6
122	8
123	7
124	8
125	8
126	6
127	5
128	6
129	3
130	1
131	1
132	5
133	0
134	3
135	3
136	3
137	8
138	8
139	7
140	0
141	2
142	6
143	1
144	5
145	1
146	8
147	3
148	2
149	6
150	5
151	1
152	5
153	6
154	4
155	7
156	7
157	1
158	4
159	6
160	1
161	3
162	9
163	1
164	3
165	6
166	4
167	4
168	8
169	6
170	1
171	9
172	8
173	9
174	9
175	2
176	6
177	9
178	1
179	7
180	1
181	2
182	2
183	8
184	9
185	6
186	2
187	6
188	4
189	6
190	2
191	2
192	7
193	9
194	0
195	0
196	5
197	7
198	4
199	3
200	2
201	9
202	2
203	1
204	2
205	1
206	0
207	2
208	2
209	1
210	7
211	7
212	9
213	2
214	2
215	1
216	4
217	7
218	5
219	2
220	3
221	9
222	3
223	2
224	3
225	7
226	7
227	4
228	8
229	8
230	4
231	7
232	4
233	0
234	8
235	3
236	0
237	9
238	7
239	9
240	5
241	1
242	9
243	2
244	6
245	3
246	6
247	6
248	3
249	0
250	3
251	4
252	6
253	8
254	6
255	8
256	4
257	5
258	1
259	4
260	7
261	7
262	3
263	6
264	2
265	4
266	0
267	2
268	1
269	6
270	9
271	8
272	2
273	8
274	6
275	5
276	5
277	5
278	7
279	4
280	2
281	4
282	8
283	7
284	4
285	9
286	1
287	9
288	1
289	4
290	8
291	0
292	9
293	1
294	9
295	6
296	5
297	2
298	0
299	6
300	9
301	7
302	7
303	2
304	6
305	7
306	5
307	9
308	1
309	6
310	9
311	5
312	9
313	4
314	2
315	7
316	3
317	4
318	8
319	9
320	8
321	1
322	8
323	3
324	6
325	7
326	5
327	4
328	6
329	9
330	9
331	0
332	6
333	1
334	3
335	2
336	1
337	2
338	3
339	1
340	0
341	1
342	1
343	6
344	0
345	7
346	9
347	1
348	8
349	5
350	6
351	6
352	2
353	1
354	0
355	3
356	1
357	2
358	0
359	1
360	9
361	3
362	5
363	2
364	4
365	3
366	3
367	0
368	7
369	4
370	0
371	3
372	3
373	6
374	0
375	1
376	0
377	9
378	0
379	7
380	9
381	3
382	7
383	3
384	1
385	8
386	2
387	2
388	2
389	2
390	2
391	4
392	0
393	0
394	8
395	4
396	5
397	7
398	8
399	5
400	3
401	1
402	8
403	5
404	7
405	0
406	3
407	9
408	9
409	3
410	2
411	9
412	5
413	4
414	9
415	4
416	7
417	1
418	3
419	8
420	7
421	0
422	4
423	8
424	0
425	6
426	5
427	6
428	8
429	1
430	5
431	3
432	9
433	8
434	2
435	7
436	5
437	9
438	8
439	3
440	2
441	4
442	4
443	7
444	9
445	4
446	6
447	8
448	5
449	4
450	0
451	8
452	1
453	8
454	5
455	2
456	9
457	1
458	5
459	2
460	2
461	9
462	6
463	9
464	2
465	4
466	7
467	2
468	4
469	1
470	6
471	6
472	2
473	3
474	5
475	1
476	8
477	0
478	5
479	0
480	6
481	9
482	4
483	5
484	8
485	1
486	7
487	8
488	5
489	8
490	4
491	6
492	0
493	5
494	6
495	9
496	3
497	3
498	3
499	5
